txt_class=互联网 href=http://internet.baidu.com/
txt_class=国内 href=http://guonei.news.baidu.com/ 
txt_class=国际 href=http://guoji.news.baidu.com/ 
txt_class=军事 href=http://mil.news.baidu.com/ 
txt_class=财经 href=http://finance.baidu.com/ 
txt_class=体育 href=http://sports.baidu.com/
txt_class=娱乐 href=http://yule.baidu.com/ 
txt_class=女人 href=http://lady.baidu.com/ 
txt_class=科技 href=http://tech.baidu.com/ 
txt_class=房产 href=http://fangchan.news.baidu.com/ 
txt_class=汽车 href=http://auto.baidu.com/ 
txt_class=社会 href=http://shehui.news.baidu.com/ 
txt_class=游戏 href=http://youxi.news.baidu.com/ 
txt_class=教育 href=http://jiaoyu.news.baidu.com/ 
txt_class=视频 href=http://shipin.news.baidu.com/ 
txt_class=人物 href=http://renwu.baidu.com/

txt_class=游戏 href=http://game.chinanews.com/
txt_class=财经 href=http://finance.chinanews.com/
txt_class=社会 href=http://www.chinanews.com/society.shtml
txt_class=国内 href=http://www.chinanews.com/china.shtml
txt_class=体育 href=http://sports.chinanews.com/
txt_class=文化 href=http://cul.chinanews.com/
txt_class=教育 href=http://edu.chinanews.com/
txt_class=港澳 href=http://www.chinanews.com/gangao/
txt_class=健康 href=http://health.chinanews.com/
txt_class=汽车 href=http://auto.chinanews.com/
txt_class=军事 href=http://mil.chinanews.com/
txt_class=国际 href=http://world.chinanews.com/
txt_class=房产 href=http://house.chinanews.com/
